"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max";"temperature (sanpedro 002)";"std";"min";"max";"humidity (sanpedro 003)";"std";"min";"max";"temperature (sanpedro 003)";"std";"min";"max";"humidity (sanpedro 004)";"std";"min";"max";"temp_dry (sanpedro 004)";"std";"min";"max";"temp_wet (sanpedro 004)";"std";"min";"max";"humidity (sanpedro 005)";"std";"min";"max";"temperature (sanpedro 005)";"std";"min";"max"
"2013-04-15 08:12:49";"2013-04-15 08:12:51";86.6;0;86.6;86.6;15.8;0;15.8;15.8;;;;;;;;;85;0;85;85;15.9;0;15.9;15.9;14.3;0;14.3;14.3;;;;;;;;
"2013-04-15 08:12:51";"2013-04-15 08:12:52";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:52";"2013-04-15 08:12:54";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:54";"2013-04-15 08:12:55";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:55";"2013-04-15 08:12:57";85.8;0;85.8;85.8;15.8;0;15.8;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:57";"2013-04-15 08:12:58";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:12:58";"2013-04-15 08:13:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:00";"2013-04-15 08:13:01";85.4;0;85.4;85.4;15.8;0;15.8;15.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:01";"2013-04-15 08:13:03";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:03";"2013-04-15 08:13:04";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:04";"2013-04-15 08:13:06";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:06";"2013-04-15 08:13:07";85.2;0;85.2;85.2;15.9;0;15.9;15.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:07";"2013-04-15 08:13:09";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:09";"2013-04-15 08:13:10";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2013-04-15 08:13:10";"2013-04-15 08:13:12";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
