"inicio";"fin";"humidity (marly 003)";"std";"min";"max";"temperature (marly 003)";"std";"min";"max"
"2013-05-07 18:00:00";"2013-05-07 21:00:00";;;;;;;;
"2013-05-07 21:00:00";"2013-05-08 00:00:00";;;;;;;;
"2013-05-08 00:00:00";"2013-05-08 03:00:00";;;;;;;;
"2013-05-08 03:00:00";"2013-05-08 06:00:00";;;;;;;;
"2013-05-08 06:00:00";"2013-05-08 09:00:00";;;;;;;;
"2013-05-08 09:00:00";"2013-05-08 12:00:00";;;;;;;;
"2013-05-08 12:00:00";"2013-05-08 15:00:00";;;;;;;;
"2013-05-08 15:00:00";"2013-05-08 18:00:00";;;;;;;;
"2013-05-08 18:00:00";"2013-05-08 21:00:00";;;;;;;;
"2013-05-08 21:00:00";"2013-05-09 00:00:00";;;;;;;;
"2013-05-09 00:00:00";"2013-05-09 03:00:00";;;;;;;;
"2013-05-09 03:00:00";"2013-05-09 06:00:00";;;;;;;;
"2013-05-09 06:00:00";"2013-05-09 09:00:00";;;;;;;;
"2013-05-09 09:00:00";"2013-05-09 12:00:00";65.77826;8.89929;54.1;83.1;19.60435;2.69096;14.4;23
"2013-05-09 12:00:00";"2013-05-09 15:00:00";;;;;;;;
"2013-05-09 15:00:00";"2013-05-09 18:00:00";;;;;;;;
"2013-05-09 18:00:00";"2013-05-09 21:00:00";;;;;;;;
"2013-05-09 21:00:00";"2013-05-10 00:00:00";;;;;;;;
"2013-05-10 00:00:00";"2013-05-10 03:00:00";;;;;;;;
"2013-05-10 03:00:00";"2013-05-10 06:00:00";86.3;0.28284;85.9;86.5;9.3;1.20277;8.4;11
"2013-05-10 06:00:00";"2013-05-10 09:00:00";73.81212;11.79064;57.3;86.8;15.01515;4.03553;8.5;21.7
"2013-05-10 09:00:00";"2013-05-10 12:00:00";61.39038;10.74454;35.8;84;19.94846;3.56362;13.9;27.5
"2013-05-10 12:00:00";"2013-05-10 15:00:00";63.53375;10.87113;41.6;84.8;20.33003;4.00364;13.6;29.1
"2013-05-10 15:00:00";"2013-05-10 18:00:00";72.76027;11.58075;52.1;87.2;18.01815;3.33359;12.3;24.4
"2013-05-10 18:00:00";"2013-05-10 21:00:00";86.65158;0.40093;84;87.1;12.85754;1.32635;10.6;14.9
"2013-05-10 21:00:00";"2013-05-11 00:00:00";86.581;0.34602;86.2;87;12.28879;1.32378;10.3;14.3
"2013-05-11 00:00:00";"2013-05-11 03:00:00";86.37068;0.37206;83.7;86.9;10.77901;1.46015;8.5;13.3
"2013-05-11 03:00:00";"2013-05-11 06:00:00";86.20741;0.36978;83.5;86.7;9.47932;1.77121;6.5;12.2
"2013-05-11 06:00:00";"2013-05-11 09:00:00";68.70183;17.32166;34.4;87.3;16.43841;6.10221;6.7;27.6
"2013-05-11 09:00:00";"2013-05-11 12:00:00";53.81126;11.79422;32.1;83.7;21.44502;3.16577;14.2;27.8
"2013-05-11 12:00:00";"2013-05-11 15:00:00";64.33106;4.21879;55.4;75.3;21.0118;1.70536;16;23.6
"2013-05-11 15:00:00";"2013-05-11 18:00:00";78.57387;6.68492;62.4;87.3;17.3804;1.9216;12.6;20.2
"2013-05-11 18:00:00";"2013-05-11 21:00:00";86.47791;0.31342;84;87.1;13.58256;1.45704;9.9;15.3
"2013-05-11 21:00:00";"2013-05-12 00:00:00";86.425;0.29047;86.2;86.8;12.3125;1.48277;10.4;13.5
"2013-05-12 00:00:00";"2013-05-12 03:00:00";86.2;0;86.2;86.2;13.4;0.1;13.3;13.5
"2013-05-12 03:00:00";"2013-05-12 06:00:00";;;;;;;;
"2013-05-12 06:00:00";"2013-05-12 09:00:00";;;;;;;;
"2013-05-12 09:00:00";"2013-05-12 12:00:00";;;;;;;;
"2013-05-12 12:00:00";"2013-05-12 15:00:00";;;;;;;;
"2013-05-12 15:00:00";"2013-05-12 18:00:00";;;;;;;;
"2013-05-12 18:00:00";"2013-05-12 21:00:00";;;;;;;;
"2013-05-12 21:00:00";"2013-05-13 00:00:00";;;;;;;;
"2013-05-13 00:00:00";"2013-05-13 03:00:00";;;;;;;;
"2013-05-13 03:00:00";"2013-05-13 06:00:00";;;;;;;;
"2013-05-13 06:00:00";"2013-05-13 09:00:00";;;;;;;;
"2013-05-13 09:00:00";"2013-05-13 12:00:00";;;;;;;;
"2013-05-13 12:00:00";"2013-05-13 15:00:00";;;;;;;;
"2013-05-13 15:00:00";"2013-05-13 18:00:00";;;;;;;;
"2013-05-13 18:00:00";"2013-05-13 21:00:00";;;;;;;;
"2013-05-13 21:00:00";"2013-05-14 00:00:00";;;;;;;;
"2013-05-14 00:00:00";"2013-05-14 03:00:00";;;;;;;;
"2013-05-14 03:00:00";"2013-05-14 06:00:00";;;;;;;;
"2013-05-14 06:00:00";"2013-05-14 09:00:00";;;;;;;;
"2013-05-14 09:00:00";"2013-05-14 12:00:00";;;;;;;;
"2013-05-14 12:00:00";"2013-05-14 15:00:00";;;;;;;;
"2013-05-14 15:00:00";"2013-05-14 18:00:00";;;;;;;;
"2013-05-14 18:00:00";"2013-05-14 21:00:00";;;;;;;;
"2013-05-14 21:00:00";"2013-05-15 00:00:00";;;;;;;;
"2013-05-15 00:00:00";"2013-05-15 03:00:00";;;;;;;;
"2013-05-15 03:00:00";"2013-05-15 06:00:00";;;;;;;;
"2013-05-15 06:00:00";"2013-05-15 09:00:00";;;;;;;;
"2013-05-15 09:00:00";"2013-05-15 12:00:00";;;;;;;;
"2013-05-15 12:00:00";"2013-05-15 15:00:00";83.05625;3.31153;76;87;14.825;1.33206;12;17.3
"2013-05-15 15:00:00";"2013-05-15 18:00:00";86.37308;0.19127;86.3;86.9;13.97115;0.98827;11;14.6
"2013-05-15 18:00:00";"2013-05-15 21:00:00";86.35;0.32016;86.1;86.8;12.01667;0.98897;10.5;12.9
"2013-05-15 21:00:00";"2013-05-16 00:00:00";86.5;0.3;86.2;86.8;11.5;1.4;10.1;12.9
