"inicio";"fin";"humidity (sanpedro 002)";"std";"min";"max"
"2013-09-29 09:00:00";"2013-09-29 12:00:00";58.02646;7.70455;41.8;71.9
"2013-09-29 12:00:00";"2013-09-29 15:00:00";75.12386;8.57405;53.3;86.7
"2013-09-29 15:00:00";"2013-09-29 18:00:00";70.65856;11.03814;53.2;92.4
"2013-09-29 18:00:00";"2013-09-29 21:00:00";92.33265;0.05851;92.2;92.4
"2013-09-29 21:00:00";"2013-09-30 00:00:00";92.08333;0.08108;92;92.2
"2013-09-30 00:00:00";"2013-09-30 03:00:00";92;0;92;92
"2013-09-30 03:00:00";"2013-09-30 06:00:00";91.96471;0.04779;91.9;92
"2013-09-30 06:00:00";"2013-09-30 09:00:00";77.63183;10.40481;59.3;92.6
"2013-09-30 09:00:00";"2013-09-30 12:00:00";43.41823;5.22266;35.1;59.2
"2013-09-30 12:00:00";"2013-09-30 15:00:00";56.55623;6.99785;38.3;72.5
"2013-09-30 15:00:00";"2013-09-30 18:00:00";77.84223;7.8921;64;92.5
"2013-09-30 18:00:00";"2013-09-30 21:00:00";92.15417;0.15981;91.9;92.4
"2013-09-30 21:00:00";"2013-10-01 00:00:00";91.72237;0.09119;91.6;91.9
