"inicio";"fin";"humidity (valentina 001)";"std";"min";"max";"temperature (valentina 001)";"std";"min";"max"
"2013-04-27 21:00:00";"2013-04-28 00:00:00";;;;;;;;
"2013-04-28 00:00:00";"2013-04-28 03:00:00";;;;;;;;
"2013-04-28 03:00:00";"2013-04-28 06:00:00";;;;;;;;
"2013-04-28 06:00:00";"2013-04-28 09:00:00";;;;;;;;
"2013-04-28 09:00:00";"2013-04-28 12:00:00";;;;;;;;
"2013-04-28 12:00:00";"2013-04-28 15:00:00";;;;;;;;
"2013-04-28 15:00:00";"2013-04-28 18:00:00";;;;;;;;
"2013-04-28 18:00:00";"2013-04-28 21:00:00";;;;;;;;
"2013-04-28 21:00:00";"2013-04-29 00:00:00";;;;;;;;
"2013-04-29 00:00:00";"2013-04-29 03:00:00";;;;;;;;
"2013-04-29 03:00:00";"2013-04-29 06:00:00";;;;;;;;
"2013-04-29 06:00:00";"2013-04-29 09:00:00";;;;;;;;
"2013-04-29 09:00:00";"2013-04-29 12:00:00";;;;;;;;
"2013-04-29 12:00:00";"2013-04-29 15:00:00";;;;;;;;
"2013-04-29 15:00:00";"2013-04-29 18:00:00";;;;;;;;
"2013-04-29 18:00:00";"2013-04-29 21:00:00";;;;;;;;
"2013-04-29 21:00:00";"2013-04-30 00:00:00";;;;;;;;
"2013-04-30 00:00:00";"2013-04-30 03:00:00";;;;;;;;
"2013-04-30 03:00:00";"2013-04-30 06:00:00";84.35;2.15;82.2;86.5;11.4;0.7;10.7;12.1
"2013-04-30 06:00:00";"2013-04-30 09:00:00";;;;;;;;
"2013-04-30 09:00:00";"2013-04-30 12:00:00";;;;;;;;
"2013-04-30 12:00:00";"2013-04-30 15:00:00";;;;;;;;
"2013-04-30 15:00:00";"2013-04-30 18:00:00";;;;;;;;
"2013-04-30 18:00:00";"2013-04-30 21:00:00";;;;;;;;
"2013-04-30 21:00:00";"2013-05-01 00:00:00";;;;;;;;
"2013-05-01 00:00:00";"2013-05-01 03:00:00";;;;;;;;
"2013-05-01 03:00:00";"2013-05-01 06:00:00";;;;;;;;
"2013-05-01 06:00:00";"2013-05-01 09:00:00";;;;;;;;
"2013-05-01 09:00:00";"2013-05-01 12:00:00";;;;;;;;
"2013-05-01 12:00:00";"2013-05-01 15:00:00";;;;;;;;
"2013-05-01 15:00:00";"2013-05-01 18:00:00";;;;;;;;
"2013-05-01 18:00:00";"2013-05-01 21:00:00";;;;;;;;
"2013-05-01 21:00:00";"2013-05-02 00:00:00";;;;;;;;
"2013-05-02 00:00:00";"2013-05-02 03:00:00";;;;;;;;
"2013-05-02 03:00:00";"2013-05-02 06:00:00";;;;;;;;
"2013-05-02 06:00:00";"2013-05-02 09:00:00";;;;;;;;
"2013-05-02 09:00:00";"2013-05-02 12:00:00";;;;;;;;
"2013-05-02 12:00:00";"2013-05-02 15:00:00";;;;;;;;
"2013-05-02 15:00:00";"2013-05-02 18:00:00";;;;;;;;
"2013-05-02 18:00:00";"2013-05-02 21:00:00";;;;;;;;
"2013-05-02 21:00:00";"2013-05-03 00:00:00";;;;;;;;
"2013-05-03 00:00:00";"2013-05-03 03:00:00";;;;;;;;
"2013-05-03 03:00:00";"2013-05-03 06:00:00";;;;;;;;
"2013-05-03 06:00:00";"2013-05-03 09:00:00";;;;;;;;
"2013-05-03 09:00:00";"2013-05-03 12:00:00";86.6;0;86.6;86.6;13;0;13;13
"2013-05-03 12:00:00";"2013-05-03 15:00:00";;;;;;;;
"2013-05-03 15:00:00";"2013-05-03 18:00:00";;;;;;;;
"2013-05-03 18:00:00";"2013-05-03 21:00:00";;;;;;;;
"2013-05-03 21:00:00";"2013-05-04 00:00:00";;;;;;;;
"2013-05-04 00:00:00";"2013-05-04 03:00:00";;;;;;;;
"2013-05-04 03:00:00";"2013-05-04 06:00:00";;;;;;;;
"2013-05-04 06:00:00";"2013-05-04 09:00:00";;;;;;;;
"2013-05-04 09:00:00";"2013-05-04 12:00:00";;;;;;;;
"2013-05-04 12:00:00";"2013-05-04 15:00:00";;;;;;;;
"2013-05-04 15:00:00";"2013-05-04 18:00:00";;;;;;;;
"2013-05-04 18:00:00";"2013-05-04 21:00:00";;;;;;;;
"2013-05-04 21:00:00";"2013-05-05 00:00:00";;;;;;;;
"2013-05-05 00:00:00";"2013-05-05 03:00:00";;;;;;;;
"2013-05-05 03:00:00";"2013-05-05 06:00:00";;;;;;;;
"2013-05-05 06:00:00";"2013-05-05 09:00:00";;;;;;;;
"2013-05-05 09:00:00";"2013-05-05 12:00:00";;;;;;;;
"2013-05-05 12:00:00";"2013-05-05 15:00:00";;;;;;;;
"2013-05-05 15:00:00";"2013-05-05 18:00:00";;;;;;;;
"2013-05-05 18:00:00";"2013-05-05 21:00:00";;;;;;;;
"2013-05-05 21:00:00";"2013-05-06 00:00:00";;;;;;;;
"2013-05-06 00:00:00";"2013-05-06 03:00:00";;;;;;;;
"2013-05-06 03:00:00";"2013-05-06 06:00:00";;;;;;;;
"2013-05-06 06:00:00";"2013-05-06 09:00:00";;;;;;;;
"2013-05-06 09:00:00";"2013-05-06 12:00:00";;;;;;;;
"2013-05-06 12:00:00";"2013-05-06 15:00:00";;;;;;;;
"2013-05-06 15:00:00";"2013-05-06 18:00:00";;;;;;;;
"2013-05-06 18:00:00";"2013-05-06 21:00:00";;;;;;;;
"2013-05-06 21:00:00";"2013-05-07 00:00:00";;;;;;;;
"2013-05-07 00:00:00";"2013-05-07 03:00:00";;;;;;;;
"2013-05-07 03:00:00";"2013-05-07 06:00:00";;;;;;;;
"2013-05-07 06:00:00";"2013-05-07 09:00:00";;;;;;;;
"2013-05-07 09:00:00";"2013-05-07 12:00:00";;;;;;;;
"2013-05-07 12:00:00";"2013-05-07 15:00:00";;;;;;;;
"2013-05-07 15:00:00";"2013-05-07 18:00:00";;;;;;;;
"2013-05-07 18:00:00";"2013-05-07 21:00:00";;;;;;;;
"2013-05-07 21:00:00";"2013-05-08 00:00:00";;;;;;;;
"2013-05-08 00:00:00";"2013-05-08 03:00:00";;;;;;;;
"2013-05-08 03:00:00";"2013-05-08 06:00:00";;;;;;;;
"2013-05-08 06:00:00";"2013-05-08 09:00:00";;;;;;;;
"2013-05-08 09:00:00";"2013-05-08 12:00:00";;;;;;;;
"2013-05-08 12:00:00";"2013-05-08 15:00:00";;;;;;;;
"2013-05-08 15:00:00";"2013-05-08 18:00:00";;;;;;;;
"2013-05-08 18:00:00";"2013-05-08 21:00:00";;;;;;;;
"2013-05-08 21:00:00";"2013-05-09 00:00:00";;;;;;;;
