"inicio";"fin";"humidity (marly 003)";"std";"min";"max"
"2013-05-16 09:00:00";"2013-05-16 12:00:00";72.73621;1.77139;66.2;76.6
"2013-05-16 12:00:00";"2013-05-16 15:00:00";64.52222;9.5077;46.1;77.1
"2013-05-16 15:00:00";"2013-05-16 18:00:00";76.11111;10.67962;53.7;87.3
"2013-05-16 18:00:00";"2013-05-16 21:00:00";86.6;0.32863;86.3;87
"2013-05-16 21:00:00";"2013-05-17 00:00:00";86.525;0.31125;86.1;86.9
"2013-05-17 00:00:00";"2013-05-17 03:00:00";86.45;0.35;86.1;86.8
"2013-05-17 03:00:00";"2013-05-17 06:00:00";86.4;0.3;86.1;86.7
"2013-05-17 06:00:00";"2013-05-17 09:00:00";86.4;0.3;86.1;86.7
"2013-05-17 09:00:00";"2013-05-17 12:00:00";86.3;0.91261;84.4;86.9
"2013-05-17 12:00:00";"2013-05-17 15:00:00";76.60833;11.58271;53.1;87.2
"2013-05-17 15:00:00";"2013-05-17 18:00:00";83.1;4;79.1;87.1
"2013-05-17 18:00:00";"2013-05-17 21:00:00";86.6;0.3;86.3;86.9
"2013-05-17 21:00:00";"2013-05-18 00:00:00";;;;
