"inicio";"fin";"humidity (fantasy 003)";"std";"min";"max";"temp_dry (fantasy 003)";"std";"min";"max";"temp_wet (fantasy 003)";"std";"min";"max"
"2013-08-23 17:00:00";"2013-08-24 02:48:00";;;;;;;;;;;;
"2013-08-24 02:48:00";"2013-08-24 12:36:00";;;;;;;;;;;;
"2013-08-24 12:36:00";"2013-08-24 22:24:00";;;;;;;;;;;;
"2013-08-24 22:24:00";"2013-08-25 08:12:00";;;;;;;;;;;;
"2013-08-25 08:12:00";"2013-08-25 18:00:00";;;;;;;;;;;;
"2013-08-25 18:00:00";"2013-08-26 03:48:00";;;;;;;;;;;;
"2013-08-26 03:48:00";"2013-08-26 13:36:00";;;;;;;;;;;;
"2013-08-26 13:36:00";"2013-08-26 23:24:00";;;;;;;;;;;;
"2013-08-26 23:24:00";"2013-08-27 09:12:00";;;;;;;;;;;;
"2013-08-27 09:12:00";"2013-08-27 19:00:00";;;;;;;;;;;;
"2013-08-27 19:00:00";"2013-08-28 04:48:00";;;;;;;;;;;;
"2013-08-28 04:48:00";"2013-08-28 14:36:00";;;;;;;;;;;;
"2013-08-28 14:36:00";"2013-08-29 00:24:00";;;;;;;;;;;;
"2013-08-29 00:24:00";"2013-08-29 10:12:00";;;;;;;;;;;;
"2013-08-29 10:12:00";"2013-08-29 20:00:00";;;;;;;;;;;;
"2013-08-29 20:00:00";"2013-08-30 05:48:00";;;;;;;;;;;;
"2013-08-30 05:48:00";"2013-08-30 15:36:00";;;;;;;;;;;;
"2013-08-30 15:36:00";"2013-08-31 01:24:00";;;;;;;;;;;;
"2013-08-31 01:24:00";"2013-08-31 11:12:00";;;;;;;;;;;;
"2013-08-31 11:12:00";"2013-08-31 21:00:00";;;;;;;;;;;;
"2013-08-31 21:00:00";"2013-09-01 06:48:00";;;;;;;;;;;;
"2013-09-01 06:48:00";"2013-09-01 16:36:00";;;;;;;;;;;;
"2013-09-01 16:36:00";"2013-09-02 02:24:00";;;;;;;;;;;;
"2013-09-02 02:24:00";"2013-09-02 12:12:00";;;;;;;;;;;;
"2013-09-02 12:12:00";"2013-09-02 22:00:00";;;;;;;;;;;;
"2013-09-02 22:00:00";"2013-09-03 07:48:00";;;;;;;;;;;;
"2013-09-03 07:48:00";"2013-09-03 17:36:00";;;;;;;;;;;;
"2013-09-03 17:36:00";"2013-09-04 03:24:00";;;;;;;;;;;;
"2013-09-04 03:24:00";"2013-09-04 13:12:00";;;;;;;;;;;;
"2013-09-04 13:12:00";"2013-09-04 23:00:00";;;;;;;;;;;;
"2013-09-04 23:00:00";"2013-09-05 08:48:00";;;;;;;;;;;;
"2013-09-05 08:48:00";"2013-09-05 18:36:00";;;;;;;;;;;;
"2013-09-05 18:36:00";"2013-09-06 04:24:00";;;;;;;;;;;;
"2013-09-06 04:24:00";"2013-09-06 14:12:00";;;;;;;;;;;;
"2013-09-06 14:12:00";"2013-09-07 00:00:00";;;;;;;;;;;;
